query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
0,0.0022358112037181854,0.07059752174973255,1205.769655778904,0.07140082463069583,1205.842240297056,565550,6.661757683703208e-07
1,0.0014041503891348839,2.5424396821937307,735.8754227171062,2.54325423367241,735.8001190087442,137805,1.107028196430041e-06
2,0.005408529192209244,5361.010129236398,106241.86845070621,5349.917873798299,105800.0,1058,0.00010484173381945764
2,0.005408529192209244,17644.47781249974,1152058.5568572034,17611.327147775693,1147700.0,11477,2.8884433845121358e-05
2,0.005408529192209244,1842.8836582460226,12553.290826193832,1875.4094930546935,13000.0,130,0.002501987292974683
2,0.005408529192209244,8532.834213976515,269190.57030377554,8512.466818667712,267900.0,2679,7.602611164167107e-05
2,0.005408529192209244,7610.62105226345,214135.9117886543,7504.5111053367755,208200.0,2082,0.0005096539237592442
2,0.005408529192209244,11121.853446596593,457413.88039998565,11059.673670369422,452300.0,4523,0.00013747463238375152
2,0.005408529192209244,3851.989905672759,54846.68735518439,3786.637072594816,53000.0,530,0.0012330723222253425
2,0.005408529192209244,18806.88635693188,1309058.3477203012,18866.86873880156,1317400.0,13174,4.5530880423320396e-05
2,0.005408529192209244,11182.27518277953,462399.67548974237,11188.459816982513,462900.0,4629,1.3360626923706942e-05
2,0.005408529192209244,4716.006595287967,82213.0603732217,4767.038491866859,84000.0,840,0.0006075225783201425
2,0.005408529192209244,7341.874908600788,199276.83524691281,7305.466473938401,197300.0,1973,0.0001845333738590353
2,0.005408529192209244,4312.315471769936,68739.6322969828,4209.530719515486,65500.0,655,0.001569232858846562
2,0.005408529192209244,6907.592452096171,176395.02372191765,6825.059382511429,172200.0,1722,0.00047928611837828975
2,0.005408529192209244,12029.017832262325,535117.4389364286,11988.4613307709,531500.0,5315,7.630574128207821e-05
2,0.005408529192209244,2360.2239347514987,20590.726194039937,2394.917644666988,21200.0,212,0.0016364957507306278
2,0.005408529192209244,12411.455673632561,569703.9591463065,12593.135339946708,586500.0,5865,0.0003097692520275307
2,0.005408529192209244,6098.751000909222,137498.45735482904,5959.792049998872,131300.0,1313,0.0010583316901016742
2,0.005408529192209244,12993.888921606704,624461.8222238346,12975.718939922224,622700.0,6227,2.9179350705764176e-05
2,0.005408529192209244,6318.8505483108165,147603.47344060792,6275.904485622873,145600.0,1456,0.00029495922175785434
2,0.005408529192209244,2125.331209773427,16696.167431595994,2261.2785064035356,18900.0,189,0.0071929786576777075
2,0.005408529192209244,16333.098502580426,987011.7870277601,16254.487265669844,977500.0,9775,8.042070272182228e-05
2,0.005408529192209244,15294.626416463405,865386.3726080392,15384.731310309842,875600.0,8756,0.00010290645711105224
2,0.005408529192209244,2568.1396036864826,24378.34083765556,2537.526387634948,23800.0,238,0.0012862695819972451
2,0.005408529192209244,22114.339095345,1810887.2906681905,22215.635950156604,1827500.0,18275,5.542919551934563e-05
2,0.005408529192209244,8599.166112169332,273393.2134121968,8566.299090706609,271300.0,2713,0.00012114641158394265
2,0.005408529192209244,6010.504235351284,133547.60988773432,5934.777950710263,130200.0,1302,0.0005816150894087585
3,0.012627767398953438,1861.8779692673725,12813.397282516808,1824.2197006858687,12300.0,123,0.0030616478521547775
3,0.012627767398953438,6130.745207340893,138945.0834246812,6061.046992127452,135800.0,1358,0.0005132416436924998
3,0.012627767398953438,640.0056339006358,1513.9953877040655,520.1481278012984,1000.0,10,0.11985750609933735
3,0.012627767398953438,2963.670224076428,32466.10243401614,2909.997586241609,31300.0,313,0.001714780761495813
3,0.012627767398953438,2643.2953244493947,25826.103821995363,2672.5355289042113,26400.0,264,0.0011075835020763882
3,0.012627767398953438,3863.2161208884354,55166.860553441664,3790.207498740508,53100.0,531,0.0013749269707707594
3,0.012627767398953438,1337.762251900882,6614.80502492606,1366.313325058879,6900.0,69,0.0041378366895647905
3,0.012627767398953438,6535.087767497462,157880.22016119692,6424.974145892534,152600.0,1526,0.0007215833656941552
3,0.012627767398953438,3884.2117127341626,55768.159085823376,4005.361566842088,59300.0,593,0.0020429992261032956
3,0.012627767398953438,1637.8537513315714,9915.413868327996,1661.2122605805753,10200.0,102,0.0022900499263729286
3,0.012627767398953438,2549.935507444454,24033.948797830642,2532.189964938621,23700.0,237,0.0007487570677566614
3,0.012627767398953438,1497.6447993416787,8290.439350486291,1385.9733813328419,7100.0,71,0.015728368733638982
3,0.012627767398953438,2399.0799773216277,21274.28595227365,2411.8029278029685,21500.0,215,0.0005917651386670154
3,0.012627767398953438,4178.469286836902,64538.483959428835,4199.880139165591,65200.0,652,0.00032838730565473365
3,0.012627767398953438,819.671544407775,2483.3452148490546,697.8516641386586,1800.0,18,0.06767771126062017
3,0.012627767398953438,4311.375892182157,68709.67912790818,4422.6309937734595,72300.0,723,0.001538798085633503
3,0.012627767398953438,2118.12814374184,16583.185707763918,2007.7847695487533,14900.0,149,0.007405595583428651
3,0.012627767398953438,4513.807015255705,75313.8736237971,4587.75440174147,77800.0,778,0.0009504805460895308
3,0.012627767398953438,2194.5746209587487,17801.833591752482,2175.917780477629,17500.0,175,0.0010661051703496924
3,0.012627767398953438,738.0944956887165,2013.6366549230333,822.4257854415767,2500.0,25,0.033732515901144094
3,0.012627767398953438,5674.685667239202,119039.64504141672,5637.942908959773,117500.0,1175,0.00031270432578237386
3,0.012627767398953438,5313.59977169444,104370.87174097722,5360.020527156761,106200.0,1062,0.0004371069252572581
3,0.012627767398953438,891.8821425439633,2940.1704902186398,915.8143211057132,3100.0,31,0.007720057600564514
3,0.012627767398953438,7686.07744053955,218404.0445117716,7719.455403451765,220300.0,2203,0.00015151140677356097
3,0.012627767398953438,2986.7085836071274,32972.83741739951,2844.175284586895,29900.0,299,0.00476699996723185
3,0.012627767398953438,2087.466364205471,16106.540477365126,2054.4054970436937,15600.0,156,0.002119286356524194
4,0.006320544518530369,1244.1817058734932,5721.717455298412,1208.7123627426051,5400.0,54,0.0065683968760903875
4,0.006320544518530369,1242.0368558817763,5702.006962165436,1305.5579794777943,6300.0,63,0.01008271803111397
4,0.006320544518530369,1255.8545531061363,5829.583418653469,1414.9513562220613,7400.0,74,0.021499567988638515
4,0.006320544518530369,1247.443763028502,5751.7599235652715,1305.5579794777943,6300.0,63,0.00922447880147498
4,0.006320544518530369,1261.9764186190732,5886.5567671510935,1174.6574498423515,5100.0,51,0.017121366426808178
4,0.006320544518530369,1274.7122990424386,6005.9714186850715,1356.3764368168406,6800.0,68,0.01200943202564735
4,0.006320544518530369,1302.3382282624407,6269.120258804586,1326.1190799626272,6500.0,65,0.0036585925692594664
4,0.006320544518530369,1242.547126091661,5706.693100997297,1174.6574498423515,5100.0,51,0.013311701225354815
4,0.006320544518530369,1373.7178815962943,6975.164153902519,1366.313325058879,6900.0,69,0.0010731241358573006
4,0.006320544518530369,1435.102597709968,7612.468486045219,1424.4796846180818,7500.0,75,0.00141638841225149
4,0.006320544518530369,1438.2791331869603,7646.205758134932,1611.6130992403616,9600.0,96,0.018055621463895975
4,0.006320544518530369,1440.2198004861566,7666.85385894606,1452.6897238116774,7800.0,78,0.0015987081186565086
4,0.006320544518530369,1469.2209567889659,7978.734147867344,1433.9446983386504,7600.0,76,0.004641612953988879
4,0.006320544518530369,1425.7594092811032,7513.668953980041,1452.6897238116774,7800.0,78,0.003452604426996686
4,0.006320544518530369,1372.8155400122587,6966.003674226017,1489.4722019171936,8200.0,82,0.014226422183528651
4,0.006320544518530369,1368.0226116426647,6917.447254192571,1252.6795687354208,5800.0,58,0.019886731535731707
4,0.006320544518530369,1331.1532180561671,6549.606943982836,1197.4683422951132,5300.0,53,0.0252235614643498
4,0.006320544518530369,1335.1770945926783,6589.264012145548,1208.7123627426051,5400.0,54,0.023419394787050577
4,0.006320544518530369,1360.562780749624,6842.210715251997,1443.347642976677,7700.0,77,0.01075128080870819
4,0.006320544518530369,1297.6279440423523,6223.853798312872,1295.1550260220274,6200.0,62,0.0003988577452136885
4,0.006320544518530369,1301.5640355091236,6261.668899188532,1366.313325058879,6900.0,69,0.009383955007210914
4,0.006320544518530369,1280.4823483947257,6060.467472838609,1127.652183467648,4700.0,47,0.03251705636746334
5,0.011828078888356686,9624937.591912687,289037041.8372529,7702347.334253382,293554210.0,3929,0.006549353380621947
5,0.011828078888356686,9589851.323789477,287491370.9541534,7245297.08201956,269876660.0,3753,0.00868750280876426
5,0.011828078888356686,9705092.746925592,294181777.83157635,7687849.861172787,297592290.0,4053,0.006778545525332009
5,0.011828078888356686,9639948.033704937,290249480.2145282,7784868.273871229,302684020.0,4089,0.006128766757603218
5,0.011828078888356686,9773897.379391551,297707328.87207294,7694363.866866218,298467400.0,4070,0.006967372358004034
5,0.011828078888356686,9867607.730980992,303597005.12785035,7682996.133745774,294712610.0,3980,0.007412684503846709
5,0.011828078888356686,10072529.191701055,316622518.0128407,7691831.497723397,305832480.0,4276,0.00778431935671992
5,0.011828078888356686,9608476.251084745,288164358.08731425,7701690.426926651,291503450.0,3875,0.006541211859269912
5,0.011828078888356686,10629282.628474534,352442394.6512358,8321589.911567163,351374410.0,4822,0.006567617479335991
5,0.011828078888356686,11078933.702212214,383780690.41121197,8845759.481335316,391002250.0,5284,0.005711410153974558
5,0.011828078888356686,11122527.597551286,386138345.7336209,8770553.826782718,389581580.0,5336,0.006037179095501815
5,0.011828078888356686,11130606.052374184,386942322.05664974,8930718.492728151,394196810.0,5269,0.005580683313104519
5,0.011828078888356686,11340279.714254498,402177696.6399238,9085503.779752634,410513160.0,5521,0.005492578933405847
5,0.011828078888356686,11017570.300099969,379165997.65725225,8771995.277224205,386012240.0,5237,0.005817367404918982
5,0.011828078888356686,10610659.932531416,351596664.9582544,8398901.904343903,354197490.0,4810,0.006244420388714537
5,0.011828078888356686,10593281.384207249,349790102.27876776,8307207.977613413,347034980.0,4720,0.006587443740091664
5,0.011828078888356686,10304204.774409652,331072272.44092643,8194809.716179363,331611400.0,4429,0.0063610450612683654
5,0.011828078888356686,10328740.127427518,332865615.70604205,8058276.81278759,326419380.0,4438,0.006955663339106669
5,0.011828078888356686,10517785.88116604,345406886.2015938,8227441.861800934,339892620.0,4616,0.006738434095347839
5,0.011828078888356686,10040910.674372256,314485540.6848497,7890714.633450651,313520190.0,4270,0.006858237872723939
5,0.011828078888356686,10053379.236913621,315836012.6599099,8009901.469405583,319965750.0,4316,0.006386551584061852
5,0.011828078888356686,9894271.96379447,305800043.1630566,7818900.94015461,304266370.0,4096,0.006820901776426556
6,0.01814794074743986,1777977.2663194742,9663918.349104388,1792809.645450524,9809410.0,81,0.0015120561920696403
6,0.01814794074743986,1663573.0476155486,8463462.323478827,1785381.11350284,9647210.0,79,0.012626247991625709
6,0.01814794074743986,1418451.1080451012,6149304.266732196,1505584.8869123177,6910360.000000001,57,0.012609151891828579
6,0.01814794074743986,3977750.9479976967,48375479.087521836,4011848.8760784254,49447630.0,411,0.0006895765900353312
6,0.01814794074743986,7602892.144622624,176740356.933384,7484316.874251627,171715820.0,1424,0.0006905320102189569
6,0.01814794074743986,4071983.2327403426,50702220.244589046,4055965.8899440398,50656020.0,422,0.00031619820894541
6,0.01814794074743986,1494151.5968141658,6823651.533701516,1621075.2889294,8066810.000000001,67,0.01573406242557271
6,0.01814794074743986,5652488.899929792,97691445.36176386,5502860.082041614,92897550.0,771,0.00161068637319475
6,0.01814794074743986,5317604.261364028,86453907.96453957,5485335.271298807,92300930.0,766,0.001817219067400288
6,0.01814794074743986,2363959.455869425,17086747.132138226,2449138.9907287178,18296720.0,151,0.004655453811354859
6,0.01814794074743986,1195731.1997563243,4369953.710534931,1315859.6842763354,5245570.0,43,0.02290094013043599
6,0.01814794074743986,1226257.7424459169,4598799.692978966,1177821.6586488872,4296210.0,36,0.011274142510964242
6,0.01814794074743986,5608333.951024175,96170402.71104598,5523841.297245124,93734340.0,779,0.0009014055444253444
6,0.01814794074743986,1902087.385705728,11063720.333888935,1861972.9507770678,10738980.0,90,0.003735404566230711
6,0.01814794074743986,896289.3569294242,2456988.8333410677,901572.7195084707,2511600.0,21,0.0021035844000025943
6,0.01814794074743986,2853065.7089658193,24886386.389865514,2822610.132364222,24449670.0,203,0.0012456436672395774
6,0.01814794074743986,2266053.4140684996,15698250.368317408,2415124.4596929536,17862450.0,148,0.008345498272882725
6,0.01814794074743986,2961372.7860420384,26811820.066630997,3096785.20730988,29227640.000000004,241,0.004633026178912887
6,0.01814794074743986,2702873.3445496038,22334527.175381836,2701504.412900624,22339020.0,185,6.12798434747762e-05
6,0.01814794074743986,840291.4116740879,2158563.9641424976,830375.836676606,2081300.0,17,0.004764125785558012
6,0.01814794074743986,3634961.5292369053,40399989.98419374,3665656.864420138,41213840.0,342,0.0007447822183817999
6,0.01814794074743986,3272599.9219109155,32745223.297495615,3286473.444814248,33013209.999999996,273,0.00042024156097915014
6,0.01814794074743986,3546894.9086360037,38458854.53235518,3552734.421116181,38818760.0,323,0.00015043016521335177
6,0.01814794074743986,1076361.5059135049,3543063.6251523118,1285657.092980319,5065270.0,42,0.04131972966235049
6,0.01814794074743986,1153968.181056738,4071032.193957109,1089066.6359238804,3565240.0,29,0.018203976487657918
6,0.01814794074743986,3846887.883725047,45243913.81976248,3964150.9963263674,48201430.0,400,0.0024327724841632344
6,0.01814794074743986,870101.7780050673,2315418.19474047,719605.9986570099,1577210.0,13,0.09541898627833792
6,0.01814794074743986,1354096.6236787215,5609971.80559573,1392916.145909135,6047480.0,51,0.006419123706140989
6,0.01814794074743986,1010902.4074556278,3123036.526740096,809274.2907419176,2028459.9999999998,17,0.09939960202010899
6,0.01814794074743986,3136661.219477441,30079642.253878508,3250404.387032521,32350490.000000004,268,0.003515964288487741
6,0.01814794074743986,1670693.291760983,8531315.140049946,1608135.512247406,7942560.000000001,66,0.00787627408714281
6,0.01814794074743986,3646888.4882363006,40667427.29326148,3510554.165438528,38059870.0,318,0.003582101641381657
6,0.01814794074743986,4548657.625217348,63261207.141584694,4669082.686878288,66874650.0,555,0.0018007580101120503
6,0.01814794074743986,2984388.8718180694,27227116.437880713,2948773.5201869644,26590530.0,220,0.0013393998401350009
6,0.01814794074743986,1824100.1091551613,10174264.821978653,1787013.1004485155,9717100.0,80,0.0038166745949558827
6,0.01814794074743986,2253123.735185342,15521846.972566435,2157336.2557955063,14307429.999999998,119,0.0066949465690089435
6,0.01814794074743986,3734696.265590854,42650265.57364797,3507075.9091728064,37601290.0,311,0.006053525196025125
6,0.01814794074743986,1405505.5624264032,6040046.463013706,1228224.5174083195,4602820.0,38,0.038515745785862504
6,0.01814794074743986,1278193.2061650557,4993536.358161339,1289364.1477889067,5079870.0,42,0.002199060531834665
6,0.01814794074743986,1595440.9163563484,7780472.3684606915,1616142.232974586,8042330.0,67,0.0025740446634542036
6,0.01814794074743986,808908.6324098879,2000087.6785509218,910264.807235877,2535650.0,21,0.03997246261352678
6,0.01814794074743986,3058264.078478381,28596331.516478788,2902210.69696527,25568860.0,210,0.00610325925806277
6,0.01814794074743986,7386845.521650583,166842152.59856182,7505175.83058101,172677490.0,1432,0.0006852677145725698
6,0.01814794074743986,2984609.8247092403,27235749.40632143,2881058.5704763453,25322040.0,209,0.004089372508411451
6,0.01814794074743986,3856323.7631419525,45463516.45158864,3801772.255899298,44459630.0,370,0.0012269896812603805
6,0.01814794074743986,560435.1704738282,959110.7406518839,653242.4930963768,1317070.0,11,0.07046498866616699
6,0.01814794074743986,622253.3790748352,1184369.7816057133,570068.7598392614,980120.0000000001,8,0.053243091902597434
6,0.01814794074743986,3084513.0204613023,29082666.921101596,2990250.4325618306,27510540.000000004,229,0.003426417216800238
6,0.01814794074743986,1870970.8924838994,10703482.960242618,1839574.0897354041,10371260.0,86,0.003027289138300963
6,0.01814794074743986,497843.5554338879,757311.0571403174,338038.0463979843,355930.0,3,0.44898016193044576
6,0.01814794074743986,700911.4143169078,1501828.2953129134,754021.1551417432,1775330.0,15,0.02991541900651456
7,0.014139455743134022,4.286960363554044,1205.7694054311855,4.46225491159577,1204.7640718562875,167,0.00014550114178922508
7,0.014139455743134022,1.3018487790966446,1205.7694320042547,1.262632733916151,1205.7370864770749,1723,3.252454089728237e-05
7,0.014139455743134022,12.47088121301772,1205.7682670238808,21.122863039793053,1222.5473684210526,19,0.007077011533671339
7,0.014139455743134022,2.693332400031977,1205.770606736353,3.4516430364847777,1207.473611111111,360,0.0006280142518021632
7,0.014139455743134022,3.019694264517966,1205.7699597421297,2.7621705396188356,1204.2882352941176,306,0.00021383894432568017
7,0.014139455743134022,2.066079788549132,1205.7696419014483,1.6403951035773523,1204.3606194690265,678,0.0003534528430192726
7,0.014139455743134022,5.966183265914879,1205.7680462295348,6.959999651344337,1205.327142857143,70,0.00082452004115139
7,0.014139455743134022,1.2212919142218652,1205.769494140862,1.2369962340302847,1205.7855312333156,1873,1.302414019876038e-05
7,0.014139455743134022,2.0549020730059055,1205.7695424144165,1.9240020821459425,1204.7307936507937,630,0.0001086549721729003
7,0.014139455743134022,4.8735540576465155,1205.770410668423,5.522377591700083,1207.2853211009174,109,0.0005374235259167309
7,0.014139455743134022,3.130150846345714,1205.7692114990332,2.223819773044937,1203.5257246376812,276,0.0007530633161776628
7,0.014139455743134022,5.329870608817146,1205.7706275833873,5.351938438205754,1203.258024691358,81,1.8340064172245026e-05
